,period,month,year,stateDescription,price,sales
0,2001-01-01,1,2001,Connecticut,8.09,360.79377
1,2001-02-01,2,2001,Connecticut,7.25,494.46504
2,2001-03-01,3,2001,Connecticut,7.53,430.48559
3,2001-04-01,4,2001,Connecticut,7.79,398.4641
4,2001-05-01,5,2001,Connecticut,7.5,520.12165
5,2001-06-01,6,2001,Connecticut,7.48,578.50559
6,2001-07-01,7,2001,Connecticut,7.94,429.09188
7,2001-08-01,8,2001,Connecticut,7.78,524.73634
8,2001-09-01,9,2001,Connecticut,7.62,448.55974
9,2001-10-01,10,2001,Connecticut,7.61,505.6883
10,2001-11-01,11,2001,Connecticut,7.51,439.7962
11,2001-12-01,12,2001,Connecticut,7.57,441.5258
12,2002-01-01,1,2002,Connecticut,7.84,389.34745
13,2002-02-01,2,2002,Connecticut,7.43,421.43306
14,2002-03-01,3,2002,Connecticut,7.5,449.50139
15,2002-04-01,4,2002,Connecticut,7.67,437.70089
16,2002-05-01,5,2002,Connecticut,7.71,464.52503
17,2002-06-01,6,2002,Connecticut,7.74,467.25329
18,2002-07-01,7,2002,Connecticut,8.36,489.01708
19,2002-08-01,8,2002,Connecticut,7.13,499.94286
20,2002-09-01,9,2002,Connecticut,7.61,444.94244
21,2002-10-01,10,2002,Connecticut,7.85,463.02371
22,2002-11-01,11,2002,Connecticut,7.61,444.21795
23,2002-12-01,12,2002,Connecticut,7.7,399.43384
24,2003-01-01,1,2003,Connecticut,7.13,461.49991
25,2003-02-01,2,2003,Connecticut,7.74,388.8709
26,2003-03-01,3,2003,Connecticut,7.59,429.56231
27,2003-04-01,4,2003,Connecticut,8.21,409.028
28,2003-05-01,5,2003,Connecticut,7.91,439.96692
29,2003-06-01,6,2003,Connecticut,8.07,487.67999
30,2003-07-01,7,2003,Connecticut,8.16,474.33232
31,2003-08-01,8,2003,Connecticut,8.22,500.06513
32,2003-09-01,9,2003,Connecticut,8.5,504.70455
33,2003-10-01,10,2003,Connecticut,8.15,470.31783
34,2003-11-01,11,2003,Connecticut,8.19,412.73615
35,2003-12-01,12,2003,Connecticut,7.88,387.154
36,2004-01-01,1,2004,Connecticut,8.14,433.73087
37,2004-02-01,2,2004,Connecticut,8.03,435.46697
38,2004-03-01,3,2004,Connecticut,8.28,443.76435
39,2004-04-01,4,2004,Connecticut,7.98,422.56125
40,2004-05-01,5,2004,Connecticut,8.28,450.56586
41,2004-06-01,6,2004,Connecticut,8.48,442.50441
42,2004-07-01,7,2004,Connecticut,7.97,543.23033
43,2004-08-01,8,2004,Connecticut,8.66,485.40401
44,2004-09-01,9,2004,Connecticut,7.45,429.3471
45,2004-10-01,10,2004,Connecticut,6.84,464.02673
46,2004-11-01,11,2004,Connecticut,7.12,372.3099
47,2004-12-01,12,2004,Connecticut,7.25,435.58522
48,2005-01-01,1,2005,Connecticut,8.77,411.76906
49,2005-02-01,2,2005,Connecticut,9.36,367.54338
50,2005-03-01,3,2005,Connecticut,9.27,432.81381
51,2005-04-01,4,2005,Connecticut,8.84,411.41152
52,2005-05-01,5,2005,Connecticut,9.3,427.33322
53,2005-06-01,6,2005,Connecticut,9.68,449.4722
54,2005-07-01,7,2005,Connecticut,9.56,459.55704
55,2005-08-01,8,2005,Connecticut,9.82,468.3787
56,2005-09-01,9,2005,Connecticut,9.6,459.50597
57,2005-10-01,10,2005,Connecticut,9.53,451.69044
58,2005-11-01,11,2005,Connecticut,9.38,412.15918
59,2005-12-01,12,2005,Connecticut,9.58,401.30147
60,2006-01-01,1,2006,Connecticut,10.46,388.18444
61,2006-02-01,2,2006,Connecticut,11.42,388.80108
62,2006-03-01,3,2006,Connecticut,11.08,410.63509
63,2006-04-01,4,2006,Connecticut,11.92,383.94267
64,2006-05-01,5,2006,Connecticut,10.86,429.85048
65,2006-06-01,6,2006,Connecticut,11.54,470.58659
66,2006-07-01,7,2006,Connecticut,11.86,450.44135
67,2006-08-01,8,2006,Connecticut,12.52,419.03995
68,2006-09-01,9,2006,Connecticut,12.18,409.35404
69,2006-10-01,10,2006,Connecticut,11.63,409.66839
70,2006-11-01,11,2006,Connecticut,12.08,379.64477
71,2006-12-01,12,2006,Connecticut,13.0,385.83216
72,2007-01-01,1,2007,Connecticut,13.99,382.10097
73,2007-02-01,2,2007,Connecticut,13.22,406.25327
74,2007-03-01,3,2007,Connecticut,12.78,428.19679
75,2007-04-01,4,2007,Connecticut,12.83,429.59188
76,2007-05-01,5,2007,Connecticut,12.47,479.30059
